symbol	BMMCdb
Tnn	1119.5
Timp3	3564.9
Col5a2	1741.6
Postn	3454.6
Lox	2998.0
Sparc	4400.0
Nedd4	1972.7
Fn1	13859.3
Cald1	2321.8
Cyp1b1	2105.9
Tagln	2583.3
Col1a2	8292.2
Fstl1	1867.1
Bgn	2824.9
Fat1	2686.1
Ctgf	5093.4
Thbs2	2056.4
Tnc	2567.2
Col1a1	2273.3
Acta2	6124.5
Csf1	2485.4
Serpine1	7469.4
Spp1	11354.9
Vcl	3362.3
Thbs1	10664.4
Tpm1	3458.4
Ccdc80	1254.6
Colec12	2307.5
Col12a1	1246.0
Loxl2	1208.0
Col6a1	1452.4
Cxcl12	922.6
Ccnd2	1191.8
Col5a1	907.4
Cyr61	872.2
Prrx1	535.5
Timp1	668.7
Tnfrsf11b	507.9
Col6a3	1434.3
Col4a1	504.1
Ptrf	1014.9
Ddr2	607.8
Mmp2	821.8
Grb10	592.6
Fermt2	529.8
Igfbp7	771.4
Col8a1	683.9
Dkk3	624.0
9930013L23Rik	487.9
Myl9	722.9
Nid1	856.0
Sdc2	492.7
Tgfb3	548.8
Phldb2	468.0
Cnn3	448.9
Col6a2	768.5
Col3a1	665.8
Prss23	496.5
Pcolce	436.6
Tpm2	604.9
Fscn1	683.9
Actg2	342.4
Enah	389.0
Aebp1	522.2
Wisp1	371.9
Fbn1	593.5
Fkbp10	602.1
Pdk4	537.4
Serpine2	268.2
Fgf7	340.5
Ibsp	227.3
Cdh11	347.2
Pls3	1016.8
Alpl	351.0
Nckap1	323.4
Mrc2	409.9
Rcn1	553.6
Ppic	281.5
Cdc42bpa	489.8
Itga11	367.1
Adamts1	429.0
Ptprd	224.5
Lhfp	371.9
Rspo2	329.1
Kirrel	316.7
Serpinf1	273.0
Mylk	522.2
Msrb3	427.1
Ptx3	146.5
Rbfox2	448.0
Cttn	417.6
Mxra8	230.2
Pdgfrb	365.2
Fat4	276.8
Myo1b	224.5
Col11a1	155.0
Aldh1l2	230.2
Irs1	217.8
Nes	268.2
Ifi44	1173.7
Fbln2	506.0
Ltbp1	547.9
Dnm3os	207.3
Amotl2	456.6
Bmp1	345.3
Cpe	226.4
Rcn3	390.9
Mgp	176.9
Gpc1	694.3
Akap12	258.7
Rhobtb3	160.7
Akap2	529.8
Ehd2	424.2
Plod2	248.2
Tead1	214.0
Psat1	487.9
Col4a2	368.1
Gpr116	298.7
Lrrc32	548.8
Fads3	555.5
Ogn	157.9
Dclk1	222.6
Wisp2	253.0
Antxr1	238.7
Gpc4	176.9
Ak1	280.6
Bmpr1a	194.0
Serpinb2	236.8
Cdh2	218.8
Dlc1	263.5
Inhbb	192.1
Arhgap29	110.3
Wwtr1	124.6
Sorbs1	229.2
Asns	475.6
Dpysl3	346.2
Pappa	207.3
Parva	265.4
Efemp2	394.7
Ncam1	309.1
Neo1	315.8
Ptgs2	333.9
Slit2	180.7
Ptk7	124.6
Fgfr2	62.8
Ddah1	284.4
Tmem47	135.1
Sema7a	366.2
Sulf1	126.5
2610203C20Rik	170.3
Ryk	254.9
Chpf	196.9
Igfbp5	68.5
Lamb1	349.1
Efnb1	350.0
Glipr2	312.9
Ly75	145.5
Fhl2	205.4
Sytl2	145.5
Nfib	138.9
Loxl1	319.6
Stard13	132.2
Rras2	200.7
Inhba	215.9
Amotl1	202.6
Dcbld2	236.8
Mmp23	144.6
Srpx2	215.9
Ly6a	755.2
Col2a1	123.6
Col16a1	180.7
Tln2	217.8
Dysf	153.1
Snora15	318.6
Leprel4	138.9
Adamts2	235.9
Thsd4	73.2
Ptprg	111.3
Vgll3	156.0
Zfhx4	125.5
Gpx8	133.2
Epha2	116.0
Phlda3	259.7
Tiam2	146.5
Maoa	298.7
Ptpn14	165.5
Ltbp2	173.1
Ghr	140.8
Cd109	193.1
Csrp2	283.4
Ncs1	175.0
Sp7	125.5
Smo	144.6
Tbx15	77.0
Gja1	179.8
Vldlr	131.3
Sgms2	233.0
Slco2a1	64.7
Ctps	192.1
Igj	24.7
Osmr	158.8
Akap6	80.8
Prkca	227.3
Fmod	161.7
Tgfb2	173.1
Pth1r	88.5
Rbms3	99.9
D4Bwg0951e	90.4
Cav1	128.4
Tjp1	127.5
Uggt2	198.8
Sorbs2	127.5
Pawr	99.9
Pcdh19	167.4
Gbp6	439.4
Unc5c	154.1
Gnai1	71.3
Epdr1	102.7
Tgfb1i1	139.8
Ctsk	179.8
Fhl1	92.3
Mpdz	76.1
Olfml2b	198.8
Bcar1	158.8
S100a16	57.1
Yap1	92.3
Tm4sf1	216.9
Arhgap28	26.6
Prkcdbp	67.5
Smoc1	151.2
Syde1	124.6
Ptprz1	28.5
Fkbp14	119.8
Scd1	178.8
Jub	187.4
Ndrg4	55.2
Snora44	355.7
Edn1	61.8
Bicc1	166.4
Pdlim7	205.4
Armcx2	122.7
Tmem119	160.7
Irx3	65.6
Dlg5	186.4
Cacna2d1	72.3
Eda2r	85.6
Slc13a5	36.1
Ppap2a	71.3
Dpep1	82.7
Cdsn	43.7
Fam171a1	39.0
Pik3r3	91.3
1110067D22Rik	188.3
Myh10	139.8
Lpar1	147.4
Myo1d	109.4
6330406I15Rik	37.1
Hspg2	205.4
Plin4	125.5
Gpr153	38.0
Kdelr3	205.4
Ndn	42.8
Fam124a	76.1
Hs6st2	23.8
Flnc	161.7
Slc1a1	42.8
Cdr2l	86.6
Dbn1	184.5
Npnt	96.1
Pvrl3	91.3
Arhgap42	25.7
Aqp1	142.7
Pxdn	120.8
Tnfrsf10b	80.8
Masp1	54.2
Rgs16	173.1
Adamts5	119.8
Snai2	159.8
Pak3	75.1
Efnb2	96.1
Gas1	88.5
Tmeff1	65.6
Khdrbs3	55.2
Fam20a	97.0
Susd5	20.9
Steap2	72.3
Avpr1a	38.0
Adamts12	75.1
Osbpl5	128.4
Bok	66.6
Grem1	169.3
Ston1	98.0
Lama4	114.1
Edil3	107.5
Rab27b	59.9
Lgr4	91.3
Htra1	46.6
Adm	59.9
St5	118.9
Wnt10b	18.1
Hoxa10	34.2
Foxs1	51.4
Podnl1	134.1
Nxn	146.5
Eml1	137.9
Islr	62.8
Pard3	100.8
Setbp1	75.1
Lama5	86.6
Bnc2	26.6
Tspan6	44.7
Wnt5a	93.2
Ddr1	46.6
Plce1	69.4
B4galt2	51.4
Arhgef25	64.7
Iqcj-schip1	21.9
Cthrc1	37.1
Adam23	39.9
Prdm5	28.5
Afap1	148.4
Fhdc1	112.2
Nfatc4	41.8
Jph2	73.2
Lmod1	97.0
9430020K01Rik	142.7
Fgfr1	84.6
Jam3	25.7
Hspb1	79.9
Mmrn1	65.6
Crip2	111.3
Grb14	5.7
Npr2	61.8
Erbb2	49.5
Scarf2	66.6
Scara3	68.5
Plekhf1	119.8
Ehd3	84.6
Has2	100.8
Epha3	20.9
Prkg1	89.4
Sardh	58.0
Schip1	25.7
Srpx	32.3
Gtse1	115.1
Npdc1	52.3
Nrn1	12.4
Spry4	66.6
Slc2a13	31.4
Tpbg	79.9
Trib3	40.9
Sertad4	39.0
Aif1l	13.3
Slc38a4	29.5
Cspg4	97.0
Synpo	72.3
Cdkn2b	98.9
Chsy3	16.2
Igsf10	59.9
Crlf1	61.8
Yes1	18.1
Prelp	23.8
Ngf	62.8
Hes1	42.8
Zfp9	63.7
Sod3	58.0
F2r	59.9
Zfp532	50.4
Acpl2	111.3
Ank2	46.6
Ptpn13	92.3
Pde5a	66.6
Igsf3	55.2
Aoc3	16.2
Cdo1	17.1
9030425E11Rik	63.7
Sgcd	23.8
F5	101.8
Pkp2	73.2
Fzd8	41.8
Fads2	106.5
Cdc42ep1	61.8
Palm2	109.4
Mustn1	39.0
Rpl39l	70.4
Rin1	92.3
Fbln5	87.5
Ret	70.4
Gcnt4	56.1
P4ha3	40.9
Itga1	62.8
Ebf1	64.7
Ptgis	25.7
Cxcr7	6.7
Il17rc	46.6
Robo1	23.8
Casc4	38.0
Slc1a4	65.6
Il1r1	59.0
Trib2	82.7
Fap	33.3
Nipal1	32.3
Clip3	55.2
Cacnb3	59.0
Ptprk	70.4
Itga3	38.0
Mmp16	28.5
Gpc6	92.3
Tmem45a	25.7
Fancb	24.7
Sfrp4	23.8
Snai1	21.9
Mum1l1	38.0
Xlr3b	78.9
Clec11a	94.2
Trpc6	51.4
Cryab	67.5
Nt5e	67.5
Zfp507	96.1
Plac9	20.9
Ptpla	25.7
Fam149a	37.1
Kank1	39.0
Ddit4l	55.2
Hbegf	92.3
Lrch2	20.0
Tbx18	34.2
Shisa4	9.5
ORF63	40.9
Gbp10	138.9
Serping1	35.2
Eya2	24.7
