symbol	BMMCdbdb
Tnn	3894.0
Timp3	12274.6
Col5a2	5381.4
Postn	10631.3
Lox	9088.1
Sparc	13327.2
Nedd4	5906.8
Fn1	40482.7
Cald1	6761.6
Cyp1b1	6131.6
Tagln	7224.3
Col1a2	22961.7
Fstl1	5156.6
Bgn	7588.5
Fat1	7178.1
Ctgf	13537.2
Thbs2	5456.4
Tnc	6626.6
Col1a1	5709.0
Acta2	15144.8
Csf1	6064.6
Serpine1	17223.9
Spp1	25753.5
Vcl	7421.2
Thbs1	22987.0
Tpm1	7446.5
Ccdc80	3704.1
Colec12	5251.6
Col12a1	3533.3
Loxl2	3441.8
Col6a1	3741.5
Cxcl12	2829.2
Ccnd2	3228.3
Col5a1	2622.7
Cyr61	2536.5
Prrx1	1745.3
Timp1	1972.7
Tnfrsf11b	1679.9
Col6a3	3143.8
Col4a1	1660.8
Ptrf	2485.1
Ddr2	1802.8
Mmp2	2129.6
Grb10	1753.1
Fermt2	1627.7
Igfbp7	1997.1
Col8a1	1832.4
Dkk3	1720.9
9930013L23Rik	1477.8
Myl9	1858.6
Nid1	2058.1
Sdc2	1450.8
Tgfb3	1530.9
Phldb2	1379.3
Cnn3	1334.0
Col6a2	1841.1
Col3a1	1669.5
Prss23	1390.7
Pcolce	1289.6
Tpm2	1558.0
Fscn1	1675.6
Actg2	1107.5
Enah	1174.6
Aebp1	1392.4
Wisp1	1124.0
Fbn1	1484.8
Fkbp10	1497.8
Pdk4	1394.1
Serpine2	934.9
Fgf7	1052.6
Ibsp	846.1
Cdh11	1056.9
Pls3	2077.3
Alpl	1049.1
Nckap1	992.5
Mrc2	1131.9
Rcn1	1357.5
Ppic	896.6
Cdc42bpa	1239.0
Itga11	1037.8
Adamts1	1137.1
Ptprd	786.8
Lhfp	1024.7
Rspo2	942.8
Kirrel	920.1
Serpinf1	836.5
Mylk	1235.6
Msrb3	1083.1
Ptx3	601.2
Rbfox2	1111.8
Cttn	1058.7
Mxra8	745.0
Pdgfrb	970.7
Fat4	822.5
Myo1b	724.1
Col11a1	595.1
Aldh1l2	727.6
Irs1	699.7
Nes	776.4
Ifi44	525.4
Fbln2	1148.4
Ltbp1	1209.4
Dnm3os	670.1
Amotl2	1071.7
Bmp1	887.0
Cpe	691.0
Rcn3	957.6
Mgp	603.0
Gpc1	1397.6
Akap12	739.8
Rhobtb3	566.4
Akap2	1146.7
Ehd2	981.1
Plod2	704.0
Tead1	636.1
Psat1	1059.5
Col4a2	864.4
Gpr116	750.2
Lrrc32	1118.8
Fads3	1113.6
Ogn	500.1
Dclk1	609.1
Wisp2	650.0
Antxr1	623.9
Gpc4	521.1
Ak1	688.4
Bmpr1a	544.6
Serpinb2	611.7
Cdh2	582.9
Dlc1	653.5
Inhbb	537.6
Arhgap29	394.7
Wwtr1	420.8
Sorbs1	595.1
Asns	959.3
Dpysl3	771.1
Pappa	556.8
Parva	646.5
Efemp2	839.1
Ncam1	711.0
Neo1	715.4
Ptgs2	741.5
Slit2	501.9
Ptk7	404.3
Fgfr2	286.7
Ddah1	659.6
Tmem47	418.2
Sema7a	778.1
Sulf1	403.4
2610203C20Rik	474.9
Ryk	609.1
Chpf	515.8
Igfbp5	291.0
Lamb1	743.2
Efnb1	742.4
Glipr2	687.5
Ly75	426.1
Fhl2	522.8
Sytl2	425.2
Nfib	414.7
Loxl1	695.3
Stard13	400.8
Rras2	512.3
Inhba	535.0
Amotl1	512.3
Dcbld2	563.7
Mmp23	416.5
Srpx2	530.6
Ly6a	370.3
Col2a1	378.2
Col16a1	470.5
Tln2	528.0
Dysf	423.5
Snora15	675.3
Leprel4	398.2
Adamts2	552.4
Thsd4	282.3
Ptprg	348.5
Vgll3	422.6
Zfhx4	371.2
Gpx8	382.5
Epha2	352.9
Phlda3	577.7
Tiam2	401.7
Maoa	630.8
Ptpn14	429.6
Ltbp2	440.0
Ghr	386.0
Cd109	468.8
Csrp2	602.1
Ncs1	437.4
Sp7	353.8
Smo	384.3
Tbx15	270.1
Gja1	437.4
Vldlr	361.6
Sgms2	517.6
Slco2a1	244.8
Ctps	454.8
Igj	161.2
Osmr	398.2
Akap6	268.4
Prkca	499.3
Fmod	399.1
Tgfb2	416.5
Pth1r	277.9
Rbms3	298.0
D4Bwg0951e	279.7
Cav1	341.6
Tjp1	338.1
Uggt2	447.0
Sorbs2	336.3
Pawr	291.0
Pcdh19	398.2
Gbp6	196.9
Unc5c	376.4
Gnai1	239.6
Epdr1	292.8
Tgfb1i1	351.1
Ctsk	411.3
Fhl1	272.7
Mpdz	244.0
Olfml2b	437.4
Bcar1	377.3
