symbol	BMGMdb
Tnn	3.4
Timp3	33.7
Col5a2	2.3
Postn	131.2
Lox	627.0
Sparc	4.5
Nedd4	678.6
Fn1	41778.6
Cald1	440.8
Cyp1b1	169.4
Tagln	124.5
Col1a2	13.5
Fstl1	19499.7
Bgn	4.5
Fat1	39.3
Ctgf	5.6
Thbs2	7.9
Tnc	5.6
Col1a1	6.7
Acta2	75.2
Csf1	3070.9
Serpine1	80.8
Spp1	192050.4
Vcl	7705.2
Thbs1	5114.4
Tpm1	862.5
Ccdc80	2335.1
Colec12	2397.9
Col12a1	6.7
Loxl2	26.9
Col6a1	2.3
Cxcl12	5.6
Ccnd2	677.4
Col5a1	18.0
Cyr61	0.0
Prrx1	3.4
Timp1	43.8
Tnfrsf11b	4.5
Col6a3	4.5
Col4a1	28.0
Ptrf	224.3
Ddr2	10.1
Mmp2	1404.2
Grb10	153.7
Fermt2	3.4
Igfbp7	21.3
Col8a1	0.0
Dkk3	3.4
9930013L23Rik	4.5
Myl9	0.0
Nid1	52.7
Sdc2	170.5
Tgfb3	9.0
Phldb2	3.4
Cnn3	12.3
Col6a2	1.1
Col3a1	1.1
Prss23	0.0
Pcolce	26.9
Tpm2	2.3
Fscn1	43.8
Actg2	2.3
Enah	328.6
Aebp1	5.6
Wisp1	6.7
Fbn1	1.1
Fkbp10	0.0
Pdk4	1.1
Serpine2	28.0
Fgf7	0.0
Ibsp	0.0
Cdh11	0.0
Pls3	4792.5
Alpl	2.3
Nckap1	261.3
Mrc2	2.3
Rcn1	92.0
Ppic	620.2
Cdc42bpa	935.4
Itga11	3.4
Adamts1	107.7
Ptprd	0.0
Lhfp	109.9
Rspo2	11.2
Kirrel	7.9
Serpinf1	7.9
Mylk	16.8
Msrb3	9.0
Ptx3	1607.2
Rbfox2	214.2
Cttn	369.0
Mxra8	4.5
Pdgfrb	22.4
Fat4	9.0
Myo1b	214.2
Col11a1	0.0
Aldh1l2	40.4
Irs1	11.2
Nes	16.8
Ifi44	22.4
Fbln2	4.5
Ltbp1	2.3
Dnm3os	4.5
Amotl2	10.1
Bmp1	5.6
Cpe	14.6
Rcn3	16.8
Mgp	2.3
Gpc1	1326.8
Akap12	15.7
Rhobtb3	4.5
Akap2	408.3
Ehd2	0.0
Plod2	46.0
Tead1	2.3
Psat1	1185.5
Col4a2	13.5
Gpr116	0.0
Lrrc32	916.3
Fads3	145.8
Ogn	6.7
Dclk1	4.5
Wisp2	0.0
Antxr1	48.2
Gpc4	1.1
Ak1	74.0
Bmpr1a	779.5
Serpinb2	47.1
Cdh2	5.6
Dlc1	14.6
Inhbb	2.3
Arhgap29	35.9
Wwtr1	2.3
Sorbs1	6.7
Asns	1390.8
Dpysl3	2.3
Pappa	2.3
Parva	3.4
Efemp2	85.2
Ncam1	39.3
Neo1	4.5
Ptgs2	37.0
Slit2	2.3
Ptk7	2.3
Fgfr2	0.0
Ddah1	2.3
Tmem47	1.1
Sema7a	24.7
Sulf1	0.0
2610203C20Rik	0.0
Ryk	118.9
Chpf	304.0
Igfbp5	2.3
Lamb1	5.6
Efnb1	89.7
Glipr2	1304.4
Ly75	4433.6
Fhl2	3.4
Sytl2	0.0
Nfib	0.0
Loxl1	0.0
Stard13	16.8
Rras2	219.8
Inhba	957.8
Amotl1	44.9
Dcbld2	999.3
Mmp23	15.7
Srpx2	9.0
Ly6a	23.6
Col2a1	0.0
