symbol	BMGMdbdb
Tnn	2.2
Timp3	60.3
Col5a2	3.2
Postn	148.5
Lox	634.7
Sparc	16.1
Nedd4	649.8
Fn1	42766.1
Cald1	384.1
Cyp1b1	164.6
Tagln	124.8
Col1a2	21.5
Fstl1	19329.9
Bgn	6.5
Fat1	29.1
Ctgf	4.3
Thbs2	2.2
Tnc	5.4
Col1a1	3.2
Acta2	86.1
Csf1	3134.9
Serpine1	59.2
Spp1	188740.9
Vcl	7542.4
Thbs1	4635.6
Tpm1	931.6
Ccdc80	2507.7
Colec12	2360.3
Col12a1	8.6
Loxl2	18.3
Col6a1	3.2
Cxcl12	3.2
Ccnd2	671.3
Col5a1	12.9
Cyr61	0.0
Prrx1	7.5
Timp1	28.0
Tnfrsf11b	2.2
Col6a3	3.2
Col4a1	23.7
Ptrf	223.8
Ddr2	3.2
Mmp2	1416.8
Grb10	149.5
Fermt2	1.1
Igfbp7	21.5
Col8a1	0.0
Dkk3	4.3
9930013L23Rik	0.0
Myl9	2.2
Nid1	64.6
Sdc2	186.1
Tgfb3	11.8
Phldb2	4.3
Cnn3	4.3
Col6a2	0.0
Col3a1	0.0
Prss23	1.1
Pcolce	20.4
Tpm2	2.2
Fscn1	30.1
Actg2	3.2
Enah	307.7
Aebp1	4.3
Wisp1	3.2
Fbn1	1.1
Fkbp10	2.2
Pdk4	0.0
Serpine2	28.0
Fgf7	2.2
Ibsp	0.0
Cdh11	4.3
Pls3	4946.5
Alpl	4.3
Nckap1	264.7
Mrc2	2.2
Rcn1	74.2
Ppic	576.6
Cdc42bpa	943.5
Itga11	7.5
Adamts1	95.8
Ptprd	0.0
Lhfp	107.6
Rspo2	14.0
Kirrel	4.3
Serpinf1	7.5
Mylk	8.6
Msrb3	0.0
Ptx3	1587.9
Rbfox2	204.4
Cttn	334.6
Mxra8	3.2
Pdgfrb	25.8
Fat4	2.2
Myo1b	229.2
Col11a1	1.1
Aldh1l2	77.5
Irs1	6.5
Nes	9.7
Ifi44	18.3
Fbln2	6.5
Ltbp1	6.5
Dnm3os	2.2
Amotl2	10.8
Bmp1	1.1
Cpe	5.4
Rcn3	29.1
Mgp	4.3
Gpc1	1421.1
Akap12	28.0
Rhobtb3	0.0
Akap2	413.1
Ehd2	3.2
Plod2	60.3
Tead1	1.1
Psat1	1186.6
Col4a2	19.4
Gpr116	5.4
Lrrc32	820.8
Fads3	198.0
Ogn	4.3
Dclk1	2.2
Wisp2	0.0
Antxr1	46.3
Gpc4	1.1
Ak1	58.1
Bmpr1a	812.2
Serpinb2	37.7
Cdh2	22.6
Dlc1	22.6
Inhbb	5.4
Arhgap29	50.6
Wwtr1	1.1
Sorbs1	14.0
Asns	1303.9
Dpysl3	0.0
Pappa	2.2
Parva	0.0
Efemp2	76.4
Ncam1	35.5
Neo1	6.5
Ptgs2	31.2
Slit2	1.1
Ptk7	1.1
Fgfr2	2.2
Ddah1	4.3
Tmem47	2.2
Sema7a	10.8
Sulf1	0.0
2610203C20Rik	1.1
Ryk	109.7
Chpf	275.4
Igfbp5	2.2
Lamb1	10.8
Efnb1	69.9
Glipr2	1336.1
Ly75	4231.1
Fhl2	5.4
Sytl2	0.0
Nfib	0.0
Loxl1	4.3
Stard13	25.8
Rras2	234.5
Inhba	931.6
Amotl1	33.4
Dcbld2	938.1
Mmp23	8.6
Srpx2	12.9
Ly6a	19.4
Col2a1	1.1
Col16a1	0.0
Tln2	1370.6
Dysf	9.7
Snora15	630.4
Leprel4	4.3
Adamts2	2.2
Thsd4	0.0
Ptprg	0.0
Vgll3	0.0
Zfhx4	2.2
Gpx8	0.0
Epha2	2.2
Phlda3	665.9
Tiam2	111.9
Maoa	1343.7
Ptpn14	65.6
Ltbp2	5.4
Ghr	35.5
Cd109	1011.3
Csrp2	76.4
Ncs1	139.9
Sp7	0.0
Smo	0.0
Tbx15	0.0
Gja1	6.5
Vldlr	74.2
Sgms2	1052.1
Slco2a1	14.0
Ctps	89.3
Igj	1.1
Osmr	1.1
Akap6	63.5
Prkca	520.7
Fmod	1.1
Tgfb2	1.1
Pth1r	0.0
Rbms3	294.8
D4Bwg0951e	0.0
Cav1	1875.1
Tjp1	459.4
Uggt2	79.6
Sorbs2	4.3
Pawr	0.0
Pcdh19	0.0
Gbp6	906.9
Unc5c	1.1
Gnai1	0.0
Epdr1	11.8
