"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10521678"	"0.000016"	"5.54e-10"	"32.5923832"	"12.276334"	"4.7175021"	"Cd38"	"CD38 antigen"
"10404965"	"0.0000237"	"1.64e-09"	"-28.5214801"	"11.622029"	"-2.93922671"	"Rnf144b"	"ring finger protein 144B"
"10433101"	"0.0000237"	"2.47e-09"	"27.1369257"	"11.358111"	"2.76899714"	"Gpr84"	"G protein-coupled receptor 84"
"10354432"	"0.0000467"	"6.47e-09"	"24.0976164"	"10.686352"	"3.03209539"	"Myo1b"	"myosin IB"
"10403871"	"0.0000507"	"8.80e-09"	"23.2024124"	"10.46041"	"2.87969803"	"Aoah///Aoah"	"acyloxyacyl hydrolase///acyloxyacyl hydrolase"
"10434758"	"0.0000543"	"1.19e-08"	"-22.3425234"	"10.229593"	"-2.77210791"	"St6gal1"	"beta galactoside alpha 2,6 sialyltransferase 1"
"10365344"	"0.0000543"	"1.40e-08"	"-21.9032519"	"10.106117"	"-2.52909976"	"Tcp11l2"	"t-complex 11 (mouse) like 2"
"10603814"	"0.0000543"	"1.64e-08"	"-21.4812416"	"9.983761"	"-2.17614101"	"Slc9a7"	"solute carrier family 9 (sodium/hydrogen exchanger), member 7"
"10587085"	"0.0000543"	"1.69e-08"	"-21.3982686"	"9.959262"	"-1.98011091"	"Fam214a"	"family with sequence similarity 214, member A"
"10469816"	"0.000055"	"1.91e-08"	"21.0851812"	"9.865473"	"3.02341432"	"Il1rn"	"interleukin 1 receptor antagonist"
"10576835"	"0.0000658"	"2.54e-08"	"20.3572111"	"9.638899"	"3.92228362"	"Cd209f"	"CD209f antigen"
"10358339"	"0.0000658"	"2.74e-08"	"-20.162792"	"9.576296"	"-4.69479107"	"Cfh"	"complement component factor h"
"10562720"	"0.000072"	"3.39e-08"	"19.6368491"	"9.402318"	"2.59018188"	"Siglece"	"sialic acid binding Ig-like lectin E"
"10552570"	"0.000072"	"3.66e-08"	"-19.4532297"	"9.339941"	"-5.02315851"	"Klk1b11"	"kallikrein 1-related peptidase b11"
"10363173"	"0.000072"	"3.74e-08"	"19.3970948"	"9.320698"	"3.28788203"	"Gja1"	"gap junction protein, alpha 1"
